YEAR,FIRM,SALE,XOPR
2010,ADCT.1,1157,1035
2010,CECE,141,134
2011,CECE,139,125
2012,CECE,135,117
2013,CECE,197,172
2014,CECE,263,228
2015,CECE,367,322
2016,CECE,417,361
2017,CECE,345,317
2018,CECE,337,310
2009,AVX,1305,1078
2010,AVX,1653,1272
2011,AVX,1545,1223
2012,AVX,1414,1221
2013,AVX,1443,1233
2014,AVX,1353,1098
2015,AVX,1196,987
2016,AVX,1313,1068
2017,AVX,1562,1320
2018,AVX,1792,1388
2010,ABT,35167,24504
2011,ABT,38851,26811
2012,ABT,39874,27307
2013,ABT,21848,17455
2014,ABT,20247,15772
2015,ABT,20405,15561
2016,ABT,20853,15878
2017,ABT,27390,20373
2018,ABT,30578,23016
2010,ACU,63,59
2011,ACU,73,68
2012,ACU,84,78
2013,ACU,90,82
2014,ACU,107,98
2015,ACU,110,100
2016,ACU,125,114
2017,ACU,131,120
2018,ACU,137,127
2010,BKTI,26,26
2011,BKTI,24,23
2012,BKTI,28,23
2013,BKTI,27,24
2014,BKTI,31,27
2015,BKTI,30,27
2016,BKTI,51,45
2017,BKTI,39,40
2018,BKTI,49,46
2010,AMD,6494,5685
2011,AMD,6568,5827
2012,AMD,5422,5198
2013,AMD,5299,5057
2014,AMD,5506,5228
2015,AMD,3991,4213
2016,AMD,4272,4331
2017,AMD,5329,5100
2018,AMD,6475,5885
2019,AMD,6731,6006
2010,ASMIY,1623,1124
2011,ASMIY,2120,1711
2012,ASMIY,1870,1677
2013,ASMIY,844,745
2014,ASMIY,660,525
2015,ASMIY,727,545
2016,ASMIY,631,492
2017,ASMIY,887,692
2018,ASMIY,937,732
2009,AIM.1,31,26
2010,AIM.1,30,27
2011,AIM.1,30,28
2012,AIM.1,31,29
2010,APD,9026,6720
2011,APD,10082,7580
2012,APD,9612,7281
2013,APD,10180,7765
2014,APD,10439,7878
2015,APD,9895,7088
2016,APD,9524,6458
2017,APD,8188,5661
2018,APD,8930,6068
2019,APD,8919,5716
2010,ATRI,109,71
2011,ATRI,118,73
2012,ATRI,119,78
2013,ATRI,132,85
2014,ATRI,141,91
2015,ATRI,146,94
2016,ATRI,143,95
2017,ATRI,147,97
2018,ATRI,152,102
2010,ACV.1,1598,1336
2010,ACEL.,0,2
2011,ACEL.,5,1
2012,ACEL.,1,1
2009,0065A,1409,1416
2010,0065A,1768,1842
2011,0065A,2160,1882
2012,0065A,1866,1850
2013,0065A,1792,1884
2010,SWKS,1072,820
2011,SWKS,1419,1033
2012,SWKS,1569,1187
2013,SWKS,1792,1335
2014,SWKS,2292,1598
2015,SWKS,3258,2036
2016,SWKS,3289,1910
2017,SWKS,3651,2139
2018,SWKS,3868,2248
2019,SWKS,3377,1963
2010,APNI,124,130
2011,APNI,167,157
2012,APNI,97,98
2010,AA.3,21013,18309
2011,AA.3,24951,21691
2012,AA.3,23700,21401
2013,AA.3,23032,20486
2014,AA.3,23906,20290
2015,AA.3,22534,19261
2010,ABLT,202,194
2011,ABLT,209,206
2012,ABLT,214,210
2013,ABLT,209,202
2014,ABLT,206,196
2015,ABLT,195,191
2016,ABLT,184,179
2017,ABLT,201,191
2018,ABLT,203,197
2010,BEAM.2,6571,5516
2011,BEAM.2,2265,1557
2012,BEAM.2,2466,1715
2013,BEAM.2,2547,1753
2010,2388B,1204,1096
2011,2388B,1543,1417
2012,2388B,1479,1367
2013,2388B,1603,1487
2009,AM.1,1636,1436
2010,AM.1,1593,1370
2011,AM.1,1695,1487
2012,AM.1,1873,1697
2010,HAIPF,316,283
2011,HAIPF,530,511
2012,HAIPF,530,496
2013,HAIPF,524,507
2014,HAIPF,450,434
2015,HAIPF,447,413
2010,ALGI,12,12
2011,ALGI,13,13
2012,ALGI,14,13
2013,ALGI,15,16
2010,APFC,176,153
2011,APFC,210,180
2012,APFC,187,145
2013,APFC,215,161
2009,ASEI,242,183
2010,ASEI,279,209
2011,ASEI,204,166
2012,ASEI,187,155
2013,ASEI,190,162
2014,ASEI,127,121
2015,ASEI,103,102
2010,AVD,230,196
2011,AVD,304,255
2012,AVD,366,294
2013,AVD,381,311
2014,AVD,299,277
2015,AVD,289,261
2016,AVD,312,275
2017,AVD,355,311
2018,AVD,454,402
2010,AMN.2,503,451
2010,AME,2471,1916
2011,AME,2990,2265
2012,AME,3334,2483
2013,AME,3594,2660
2014,AME,4022,2985
2015,AME,3974,2881
2016,AME,3840,2833
2017,AME,4300,3178
2018,AME,4846,3571
2019,AME,5159,3747
2010,AMGN,15053,8445
2011,AMGN,15582,9220
2012,AMGN,17265,10215
2013,AMGN,18676,11100
2014,AMGN,20063,11107
2015,AMGN,21662,10951
2016,AMGN,22991,10991
2017,AMGN,22849,10397
2018,AMGN,23747,11238
2019,AMGN,23362,13578
2010,AP,327,274
2011,AP,345,298
2012,AP,293,266
2013,AP,281,257
2014,AP,273,256
2015,AP,238,231
2016,AP,332,326
2017,AP,432,420
2018,AP,419,410
2010,ADI,2762,1724
2011,ADI,2993,1800
2012,ADI,2701,1758
2013,ADI,2634,1734
2014,ADI,2865,1899
2015,ADI,3435,2148
2016,ADI,3421,2155
2017,ADI,5108,2989
2018,ADI,6201,3433
2019,ADI,5991,3374
2010,ALOG,424,384
2011,ALOG,474,429
2012,ALOG,517,456
2013,ALOG,550,480
2014,ALOG,518,462
2015,ALOG,540,477
2016,ALOG,509,440
2017,ALOG,486,445
2010,ANEN,169,140
2011,ANEN,179,148
2012,ANEN,147,128
2013,ANEN,158,132
2010,ANDR,5,4
2011,ANDR,4,4
2012,ANDR,3,4
2013,ANDR,3,4
2014,ANDR,3,5
2015,ANDR,13,10
2016,ANDR,4,5
2017,ANDR,7,8
2018,ANDR,1,2
2010,ASOE,10,15
2011,ASOE,10,14
2012,ASOE,4,9
2013,ASOE,17,18
2014,ASOE,4,5
2009,APOG,697,622
2010,APOG,583,578
2011,APOG,662,634
2012,APOG,700,649
2013,APOG,771,706
2014,APOG,934,843
2015,APOG,981,854
2016,APOG,1115,961
2017,APOG,1326,1167
2018,APOG,1403,1296
2010,AAPL,65225,45908
2011,AAPL,108249,72637
2012,AAPL,156508,98062
2013,AAPL,170910,115154
2014,AAPL,182795,122346
2015,AAPL,233715,151985
2016,AAPL,215091,145815
2017,AAPL,229234,158490
2018,AAPL,265359,183794
2019,AAPL,260174,183697
2010,AMAT,9549,7615
2011,AMAT,10517,7911
2012,AMAT,8719,7127
2013,AMAT,7509,6264
2014,AMAT,9072,7099
2015,AMAT,9659,7596
2016,AMAT,10825,8277
2017,AMAT,14537,10259
2018,AMAT,17253,11995
2019,AMAT,14608,10873
2010,EPAC,1161,969
2011,EPAC,1445,1195
2012,EPAC,1605,1315
2013,EPAC,1280,1030
2014,EPAC,1400,1149
2015,EPAC,1249,1054
2016,EPAC,1149,993
2017,EPAC,1096,971
2018,EPAC,1183,1037
2019,EPAC,655,558
2010,TREC,139,131
2011,TREC,200,182
2012,TREC,223,202
2013,TREC,236,212
2014,TREC,290,258
2015,TREC,242,197
2016,TREC,212,184
2017,TREC,245,216
2018,TREC,288,270
2010,ADM,61682,58380
2011,ADM,80676,77160
2012,ADM,89038,86199
2013,ADM,89804,86771
2014,ADM,81201,77365
2015,ADM,67702,64818
2016,ADM,62346,59783
2017,ADM,60828,58391
2018,ADM,64341,61380
2010,ARTW,29,26
2011,ARTW,28,25
2012,ARTW,36,31
2013,ARTW,34,32
2014,ARTW,36,34
2015,ARTW,28,27
2016,ARTW,22,21
2017,ARTW,21,22
2018,ARTW,20,21
2019,ARTW,23,23
2010,ASH,9012,8172
2011,ASH,6502,6085
2012,ASH,8206,7394
2013,ASH,7813,6150
2014,ASH,6121,5547
2015,ASH,5387,4571
2016,ASH,4948,4031
2017,ASH,3260,2718
2018,ASH,3743,3116
2019,ASH,2493,1978
2009,ALOT,64,61
2010,ALOT,71,67
2011,ALOT,79,73
2012,ALOT,61,57
2013,ALOT,69,65
2014,ALOT,88,79
2015,ALOT,95,87
2016,ALOT,98,89
2017,ALOT,113,105
2018,ALOT,137,122
2010,ATRO,196,167
2011,ATRO,228,190
2012,ATRO,266,227
2013,ATRO,340,275
2014,ATRO,661,533
2015,ATRO,692,566
2016,ATRO,633,535
2017,ATRO,624,551
2018,ATRO,803,704
2009,REX,170,146
2010,REX,302,265
2011,REX,410,375
2012,REX,658,641
2013,REX,666,603
2014,REX,572,433
2015,REX,436,387
2016,REX,454,385
2017,REX,453,409
2018,REX,487,452
2010,AVY,6513,5851
2011,AVY,6026,5445
2012,AVY,6036,5427
2013,AVY,6140,5482
2014,AVY,6330,5638
2015,AVY,5967,5246
2016,AVY,6087,5309
2017,AVY,6614,5750
2018,AVY,7159,6194
2019,AVY,7070,6106
2010,AVP,10863,9470
2011,AVP,11292,9939
2012,AVP,10717,9836
2013,AVP,9955,8939
2014,AVP,8851,7941
2015,AVP,6161,5684
2016,AVP,5718,5234
2017,AVP,5716,5251
2018,AVP,5403,5054
2009,AZZ,357,273
2010,AZZ,381,296
2011,AZZ,469,370
2012,AZZ,571,442
2013,AZZ,752,603
2014,AZZ,817,672
2015,AZZ,903,733
2016,AZZ,859,702
2017,AZZ,810,712
2018,AZZ,927,799
2010,BTI,22908,14836
2011,BTI,23925,14998
2012,BTI,24702,15200
2013,BTI,25292,15419
2014,BTI,21764,12976
2015,BTI,19323,11758
2016,BTI,18198,11170
2017,BTI,27453,17172
2018,BTI,31215,17786
2010,PRSNQ,2,9
2011,PRSNQ,3,8
2012,PRSNQ,2,10
2013,PRSNQ,4,12
2014,PRSNQ,5,12
2010,BMI,277,224
2011,BMI,263,225
2012,BMI,320,263
2013,BMI,334,281
2014,BMI,365,298
2015,BMI,378,309
2016,BMI,394,323
2017,BMI,402,325
2018,BMI,434,352
2019,BMI,425,338
2010,BCPC,255,197
2011,BCPC,292,226
2012,BCPC,310,241
2013,BCPC,337,261
2014,BCPC,541,424
2015,BCPC,552,417
2016,BCPC,553,411
2017,BCPC,595,453
2018,BCPC,644,493
2010,BLL,7630,6611
2011,BLL,8631,7458
2012,BLL,8736,7560
2013,BLL,8468,7294
2014,BLL,8570,7370
2015,BLL,7997,6912
2016,BLL,9061,7697
2017,BLL,10983,9231
2018,BLL,11635,9807
2019,BLL,11474,9620
2010,BCR,2720,1845
2011,BCR,2896,1952
2012,BCR,2958,2002
2013,BCR,3050,2225
2014,BCR,3324,2332
2015,BCR,3416,2368
2016,BCR,3714,2545
2010,B,1133,997
2011,B,1169,988
2012,B,1230,1032
2013,B,1092,888
2014,B,1262,989
2015,B,1194,925
2016,B,1231,951
2017,B,1436,1134
2018,B,1496,1159
2010,DFZ,124,108
2011,DFZ,130,115
2012,DFZ,156,130
2013,DFZ,147,123
2010,BSET,235,233
2011,BSET,253,258
2012,BSET,270,249
2013,BSET,321,305
2014,BSET,341,318
2015,BSET,431,394
2016,BSET,432,393
2017,BSET,453,411
2018,BSET,457,428
2019,BSET,452,435
2010,6583B,0,0
2011,6583B,2845,2302
2012,6583B,3038,2424
2010,BAX,13056,9342
2011,BAX,13893,10023
2012,BAX,14190,10359
2013,BAX,15259,11182
2014,BAX,16671,12578
2015,BAX,9968,8478
2016,BAX,10163,8196
2017,BAX,10561,8286
2018,BAX,11127,8587
2010,BDX,7372,5268
2011,BDX,7829,5624
2012,BDX,7708,5709
2013,BDX,8054,5974
2014,BDX,8446,6298
2015,BDX,10282,7942
2016,BDX,12483,9300
2017,BDX,12093,8911
2018,BDX,15983,11392
2019,BDX,17290,12266
2010,BELFB,303,270
2011,BELFB,295,276
2012,BELFB,287,269
2013,BELFB,349,320
2014,BELFB,487,437
2015,BELFB,567,512
2016,BELFB,500,454
2017,BELFB,492,453
2018,BELFB,548,500
2010,BMS,4835,4220
2011,BMS,5323,4712
2012,BMS,5139,4530
2013,BMS,5030,4423
2014,BMS,4344,3775
2015,BMS,4071,3504
2016,BMS,4004,3415
2017,BMS,4046,3515
2018,BMS,4090,3533
2010,BIO,1927,1535
2011,BIO,2074,1657
2012,BIO,2069,1694
2013,BIO,2133,1775
2014,BIO,2175,1809
2015,BIO,2019,1713
2016,BIO,2068,1798
2017,BIO,2160,1873
2018,BIO,2289,1941
2010,SVNTQ,4,60
2011,SVNTQ,10,125
2012,SVNTQ,18,137
2009,5938B,2698,1794
2010,5938B,2732,1819
2011,5938B,2838,1882
2012,5938B,3053,2031
2013,5938B,3223,2156
2010,3BTEL,11,11
2010,SPEX.2,1,9
2011,SPEX.2,1,5
2012,SPEX.2,0,3
2010,NIMU,1,2
2011,NIMU,1,1
2012,NIMU,0,1
2013,NIMU,0,0
2014,NIMU,0,0
2015,NIMU,0,0
2016,NIMU,0,1
2017,NIMU,0,0
2018,NIMU,0,0
2019,NIMU,0,0
2010,BLT,611,499
2011,BLT,832,689
2012,BLT,928,798
2013,BLT,901,781
2014,BLT,945,812
2015,BLT,829,734
2009,BOBE,1727,1533
2010,BOBE,1677,1501
2011,BOBE,1652,1464
2012,BOBE,1609,1425
2013,BOBE,1329,1197
2014,BOBE,1349,1222
2015,BOBE,1339,1205
2016,BOBE,395,323
2010,BA,64306,58080
2011,BA,68735,61743
2012,BA,81698,74110
2013,BA,86623,78271
2014,BA,90762,81522
2015,BA,96114,87299
2016,BA,94571,86101
2017,BA,93392,81481
2018,BA,101127,87429
2019,BA,84818,76968
2010,BOLT.1,31,24
2011,BOLT.1,39,30
2012,BOLT.1,53,42
2013,BOLT.1,58,46
2014,BOLT.1,68,51
2010,0141A,4818,4257
2011,0141A,5207,4625
2012,0141A,4756,4332
2013,0141A,4890,4521
2014,0141A,5137,4750
2015,0141A,4140,3755
2016,0141A,3438,3119
2017,0141A,3591,3285
2018,0141A,3797,3440
2010,RFP,4746,4432
2011,RFP,4756,4290
2012,RFP,4503,4135
2013,RFP,4461,4116
2014,RFP,4258,3896
2015,RFP,3645,3441
2016,RFP,3545,3298
2017,RFP,3513,3164
2018,RFP,3756,3190
2019,RFP,2923,2710
2010,REXMY,7110,6017
2011,REXMY,7355,6230
2012,REXMY,7012,5944
2013,REXMY,6535,5620
2014,REXMY,5969,5116
2015,REXMY,5788,5008
2010,BRC,1259,1061
2011,BRC,1340,1124
2012,BRC,1324,1113
2013,BRC,1152,962
2014,BRC,1225,1058
2015,BRC,1172,1038
2016,BRC,1121,970
2017,BRC,1113,955
2018,BRC,1174,1000
2019,BRC,1161,974
2010,BRID,118,110
2011,BRID,118,118
2012,BRID,127,122
2013,BRID,129,124
2014,BRID,133,134
2015,BRID,130,119
2016,BRID,140,126
2017,BRID,167,151
2018,BRID,174,164
2019,BRID,189,176
2010,BGG,2028,1863
2011,BGG,2110,1947
2012,BGG,2067,1913
2013,BGG,1862,1734
2014,BGG,1859,1748
2015,BGG,1895,1748
2016,BGG,1809,1670
2017,BGG,1786,1644
2018,BGG,1881,1741
2019,BGG,1837,1776
2010,MSGI,0,5
2010,BMY,19484,12604
2011,BMY,21244,13664
2012,BMY,17621,12141
2013,BMY,16385,11926
2014,BMY,15879,11860
2015,BMY,16560,13702
2016,BMY,19427,14054
2017,BMY,20776,15684
2018,BMY,22561,16620
2010,CYSTQ,1229,1157
2011,CYSTQ,1262,1214
2012,CYSTQ,1058,998
2013,CYSTQ,1051,1004
2014,CYSTQ,1109,1058
2015,CYSTQ,1991,1936
2010,BP,297107,258563
2011,BP,375517,337045
2012,BP,375580,344947
2013,BP,379136,349486
2014,BP,353568,328101
2015,BP,222894,204937
2016,BP,183008,167745
2017,BP,240208,215841
2018,BP,298756,267456
2019,BP,278397,244799
2010,BNSSA,0,2
2011,BNSSA,33,26
2009,BF.B,2469,1693
2010,BF.B,2589,1745
2011,BF.B,2723,1887
2012,BF.B,2849,1901
2013,BF.B,2991,1985
2014,BF.B,3134,2034
2015,BF.B,3089,1994
2016,BF.B,2994,1965
2017,BF.B,3248,2091
2018,BF.B,3324,2123
2009,CAL,2242,2155
2010,CAL,2504,2373
2011,CAL,2583,2458
2012,CAL,2598,2449
2013,CAL,2513,2353
2014,CAL,2572,2391
2015,CAL,2577,2391
2016,CAL,2579,2386
2017,CAL,2786,2572
2018,CAL,2835,2645
2010,BC,3403,3195
2011,BC,3748,3435
2012,BC,3718,3338
2013,BC,3888,3480
2014,BC,3839,3397
2015,BC,4106,3590
2016,BC,4489,3905
2017,BC,4510,3910
2018,BC,5159,4526
2019,BC,4108,3475
2010,MTRN,1302,1184
2011,MTRN,1527,1415
2012,MTRN,1273,1179
2013,MTRN,1167,1085
2014,MTRN,1127,1029
2015,MTRN,1025,943
2016,MTRN,969,887
2017,MTRN,1139,1042
2018,MTRN,1208,1092
2009,CAE,1526,1187
2010,CAE,1629,1296
2011,CAE,1821,1422
2012,CAE,2105,1667
2013,CAE,2115,1732
2014,CAE,2246,1817
2015,CAE,2513,2038
2016,CAE,2705,2182
2017,CAE,2830,2265
2018,CAE,3304,2672
2009,CSS,448,421
2010,CSS,451,419
2011,CSS,385,350
2012,CSS,364,327
2013,CSS,320,285
2014,CSS,313,277
2015,CSS,317,281
2016,CSS,322,295
2017,CSS,362,338
2018,CSS,382,367
2010,CTS,553,506
2011,CTS,589,552
2012,CTS,577,555
2013,CTS,409,359
2014,CTS,404,337
2015,CTS,382,318
2016,CTS,397,322
2017,CTS,423,345
2018,CTS,470,382
2019,CTS,469,383
2010,CVV,16,15
2011,CVV,31,26
2012,CVV,22,20
2013,CVV,18,20
2014,CVV,28,26
2015,CVV,39,33
2016,CVV,21,21
2017,CVV,41,33
2018,CVV,24,28
2010,CBT,2893,2450
2011,CBT,3102,2707
2012,CBT,3300,2804
2013,CBT,3463,2952
2014,CBT,3647,3057
2015,CBT,2871,2402
2016,CBT,2411,1947
2017,CBT,2717,2223
2018,CBT,3242,2709
2019,CBT,3337,2838
2009,CAGAQ,307,297
2010,CAGAQ,310,304
2009,CAMP,112,120
2010,CAMP,114,114
2011,CAMP,139,128
2012,CAMP,181,162
2013,CAMP,236,209
2014,CAMP,251,216
2015,CAMP,281,238
2016,CAMP,351,311
2017,CAMP,366,328
2018,CAMP,364,326
2013,KRED,1,5
2014,KRED,1,6
2015,KRED,1,4
2016,KRED,1,4
2017,KRED,3,6
2010,CPB,7676,6061
2011,CPB,7719,6099
2012,CPB,7707,6213
2013,CPB,8052,6419
2014,CPB,8268,6671
2015,CPB,8082,6553
2016,CPB,7961,6504
2017,CPB,7890,5895
2018,CPB,8685,6974
2019,CPB,8107,6552
2010,MLFNF,4968,4604
2011,MLFNF,4894,4505
2012,MLFNF,4865,4459
2013,MLFNF,4406,4263
2014,MLFNF,3157,3117
2015,MLFNF,3293,3076
2016,MLFNF,3332,2954
2017,MLFNF,3522,3166
2018,MLFNF,3496,3159
2009,STZ,3365,2689
2010,STZ,3332,2736
2011,STZ,2654,2011
2012,STZ,2796,2124
2013,STZ,4868,3543
2014,STZ,6028,4260
2015,STZ,6548,4512
2016,STZ,7332,4904
2017,STZ,7585,4838
2018,STZ,8116,5237
2010,CAJ,45389,37262
2011,CAJ,46212,37906
2012,CAJ,40164,33446
2013,CAJ,35453,29634
2014,CAJ,31099,25946
2015,CAJ,31598,26372
2016,CAJ,29127,25026
2017,CAJ,36206,30639
2018,CAJ,36019,30601
2010,CSL,2528,2232
2011,CSL,3225,2853
2012,CSL,3629,3068
2013,CSL,2943,2466
2014,CSL,3204,2689
2015,CSL,3543,2901
2016,CSL,3675,2943
2017,CSL,4090,3369
2018,CSL,4480,3758
2019,CSL,4812,3933
2010,CRS,1199,1128
2011,CRS,1675,1509
2012,CRS,2029,1712
2013,CRS,2272,1923
2014,CRS,2173,1841
2015,CRS,2227,1959
2016,CRS,1813,1580
2017,CRS,1798,1579
2018,CRS,2158,1854
2019,CRS,2380,2028
2009,CASC.2,314,302
2010,CASC.2,410,351
2011,CASC.2,536,444
2012,CASC.2,538,457
2010,CAT,42588,34932
2011,CAT,60138,48163
2012,CAT,65875,52632
2013,CAT,55656,45239
2014,CAT,55184,44439
2015,CAT,47011,38016
2016,CAT,38537,32754
2017,CAT,45462,36063
2018,CAT,54722,42378
2019,CAT,53800,40798
2009,CVCO,116,120
2010,CVCO,172,167
2011,CVCO,443,420
2012,CVCO,452,427
2013,CVCO,533,498
2014,CVCO,567,524
2015,CVCO,712,662
2016,CVCO,774,713
2017,CVCO,871,797
2018,CVCO,963,872
2010,RFIL,16,14
2011,RFIL,19,17
2012,RFIL,30,26
2013,RFIL,37,29
2014,RFIL,23,20
2015,RFIL,33,31
2016,RFIL,30,31
2017,RFIL,31,30
2018,RFIL,50,42
2019,RFIL,55,50
2010,ABAT,97,55
2010,CRDN,403,333
2011,CRDN,572,413
2010,CYDI,1,2
2011,CYDI,1,1
2012,CYDI,1,1
2013,CYDI,1,1
2010,CMD,274,230
2011,CMD,322,277
2012,CMD,386,321
2013,CMD,425,346
2014,CMD,489,398
2015,CMD,565,457
2016,CMD,665,539
2017,CMD,770,619
2018,CMD,872,704
2019,CMD,919,756
2010,CKP,834,750
2011,CKP,865,810
2012,CKP,691,651
2013,CKP,690,629
2014,CKP,662,589
2015,CKP,587,542
2010,CLSN,0,19
2011,CLSN,2,25
2012,CLSN,0,22
2013,CLSN,1,15
2014,CLSN,1,23
2015,CLSN,1,21
2016,CLSN,1,21
2017,CLSN,1,18
2018,CLSN,1,21
2010,CVX,189607,150925
2011,CVX,236286,185076
2012,CVX,222580,174154
2013,CVX,211664,170265
2014,CVX,192308,155789
2015,CVX,122566,104886
2016,CVX,103310,89986
2017,CVX,127485,105656
2018,CVX,158902,125037
2010,CVR,29,27
2011,CVR,31,28
2012,CVR,34,31
2013,CVR,37,33
2014,CVR,37,33
2015,CVR,36,32
2016,CVR,37,32
2017,CVR,36,32
2018,CVR,37,33
2010,CHD,2589,2050
2011,CHD,2749,2180
2012,CHD,2922,2292
2013,CHD,3194,2477
2014,CHD,3298,2563
2015,CHD,3395,2614
2016,CHD,3493,2658
2017,CHD,3776,2879
2018,CHD,4146,3223
2010,CHYR,28,29
2011,CHYR,32,32
2012,CHYR,30,33
2013,CHYR,47,44
2010,CLC,1011,836
2011,CLC,1126,913
2012,CLC,1122,906
2013,CLC,1131,915
2014,CLC,1513,1237
2015,CLC,1481,1221
2016,CLC,1390,1139
2009,CLDA,13,92
2010,CLX,5534,4256
2011,CLX,5231,4125
2012,CLX,5468,4387
2013,CLX,5623,4477
2014,CLX,5591,4456
2015,CLX,5655,4486
2016,CLX,5761,4540
2017,CLX,5973,4693
2018,CLX,6124,4833
2019,CLX,6214,4927
2010,COKE,1515,1360
2011,COKE,1561,1412
2012,COKE,1614,1464
2013,COKE,1641,1497
2014,COKE,1746,1599
2015,COKE,2306,2127
2016,COKE,3156,2908
2017,COKE,4324,4057
2018,COKE,4625,4369
2010,KO,35119,24226
2011,KO,46565,33772
2012,KO,48017,34897
2013,KO,46854,33818
2014,KO,45998,33535
2015,KO,44294,32145
2016,KO,41863,30153
2017,KO,35410,24762
2018,KO,31856,21042
2019,KO,37266,25360
2010,COHR,605,512
2011,COHR,803,661
2012,COHR,769,646
2013,COHR,810,687
2014,COHR,795,682
2015,COHR,802,666
2016,COHR,857,686
2017,COHR,1723,1247
2018,COHR,1903,1395
2019,COHR,1431,1232
2010,COHU,323,282
2011,COHU,309,282
2012,COHU,221,224
2013,COHU,247,266
2014,COHU,333,303
2015,COHU,270,252
2016,COHU,282,263
2017,COHU,353,305
2018,COHU,452,390
2010,OMED,0,0
2011,OMED,31,45
2012,OMED,25,46
2013,OMED,38,60
2014,OMED,40,89
2015,OMED,26,110
2016,OMED,25,127
2017,OMED,38,75
2018,OMED,44,49
2010,CL,15564,11420
2011,CL,16734,12455
2012,CL,17085,12662
2013,CL,17420,12851
2014,CL,17277,12649
2015,CL,16034,11599
2016,CL,15195,10788
2017,CL,15454,11067
2018,CL,15544,11186
2010,CCF,119,95
2011,CCF,123,102
2012,CCF,149,124
2013,CCF,216,178
2014,CCF,224,177
2015,CCF,238,183
2016,CCF,238,176
2017,CCF,253,180
2018,CCF,284,209
2019,CCF,281,216
2010,CMC,6306,6266
2011,CMC,7918,7656
2012,CMC,7828,7458
2013,CMC,6890,6555
2014,CMC,7040,6674
2015,CMC,5943,5519
2016,CMC,4611,4285
2017,CMC,4570,4325
2018,CMC,4644,4266
2019,CMC,5829,5278
2010,JCS,120,103
2011,JCS,144,123
2012,JCS,104,99
2013,JCS,131,121
2014,JCS,119,113
2015,JCS,108,116
2016,JCS,99,104
2017,JCS,82,87
2018,JCS,66,70
2010,CMTL,778,637
2011,CMTL,612,497
2012,CMTL,425,353
2013,CMTL,320,274
2014,CMTL,347,291
2015,CMTL,307,260
2016,CMTL,411,367
2017,CMTL,550,488
2018,CMTL,571,501
2019,CMTL,672,590
2009,CAG,12079,10447
2010,CAG,12303,10614
2011,CAG,13263,12042
2012,CAG,15491,13426
2013,CAG,17703,15400
2014,CAG,15832,13683
2015,CAG,11643,10026
2016,CAG,7827,6324
2017,CAG,7938,6406
2018,CAG,9538,7700
2010,CNLG,1,5
2011,CNLG,2,4
2012,CNLG,1,3
2010,NVLD,9,11
2011,NVLD,23,19
2010,CUO,114,110
2011,CUO,107,106
2012,CUO,113,113
2013,CUO,122,120
2014,CUO,132,132
2015,CUO,137,132
2016,CUO,152,143
2017,CUO,153,147
2018,CUO,164,169
2010,CBE,5066,4225
2011,CBE,5409,4520
2010,CTB,3361,3029
2011,CTB,3927,3642
2012,CTB,4201,3682
2013,CTB,3439,2990
2014,CTB,3425,2985
2015,CTB,2973,2497
2016,CTB,2925,2398
2017,CTB,2855,2437
2018,CTB,2808,2468
2010,COO,1159,858
2011,COO,1331,979
2012,COO,1445,1046
2013,COO,1588,1135
2014,COO,1718,1211
2015,COO,1797,1243
2016,COO,1967,1353
2017,COO,2139,1480
2018,COO,2533,1731
2019,COO,2653,1786
2010,TAP,3254,2622
2011,TAP,3516,2849
2012,TAP,3917,3157
2013,TAP,4206,3408
2014,TAP,4146,3363
2015,TAP,3568,2983
2016,TAP,4885,4034
2017,TAP,11003,8376
2018,TAP,10770,8517
2019,TAP,10579,8220
2010,CBYDF,162,118
2011,CBYDF,159,117
2012,CBYDF,147,104
2013,CBYDF,133,91
2014,CBYDF,137,98
2015,CBYDF,132,99
2016,CBYDF,140,98
2017,CBYDF,144,101
2018,CBYDF,147,105
2019,CBYDF,150,108
2010,GLW,6632,4306
2011,GLW,7890,5137
2012,GLW,8012,5539
2013,GLW,7819,5379
2014,GLW,9715,6679
2015,GLW,9111,6533
2016,GLW,9390,6598
2017,GLW,10116,7269
2018,GLW,11290,8157
2019,GLW,11503,8248
2010,CBDLF,1588,1428
2011,CBDLF,1595,1438
2012,CBDLF,1567,1402
2013,CBDLF,1454,1274
2009,CSMO,16,18
2010,CSMO,16,17
2011,CSMO,18,20
2010,CRRC,257,219
2011,CRRC,259,219
2012,CRRC,261,218
2013,CRRC,275,236
2014,CRRC,283,244
2010,CR,2218,1918
2011,CR,2546,2170
2012,CR,2579,2187
2013,CR,2595,2190
2014,CR,2925,2426
2015,CR,2741,2279
2016,CR,2748,2279
2017,CR,2786,2291
2018,CR,3346,2743
2010,CHMT,2760,2450
2011,CHMT,3025,2669
2012,CHMT,2629,2280
2013,CHMT,2231,1991
2014,CHMT,2190,1953
2015,CHMT,1745,1483
2016,CHMT,1654,1343
2010,ATX,158,142
2011,ATX,175,157
2012,ATX,181,162
2010,CCK,7941,6899
2011,CCK,8644,7515
2012,CCK,8470,7395
2013,CCK,8656,7603
2014,CCK,9097,7923
2015,CCK,8762,7495
2016,CCK,8284,6951
2017,CCK,8698,7323
2018,CCK,11151,9546
2019,CCK,11665,9980
2009,CRWS,86,75
2010,CRWS,90,80
2011,CRWS,85,76
2012,CRWS,78,69
2013,CRWS,81,71
2014,CRWS,86,75
2015,CRWS,84,73
2016,CRWS,66,56
